"name","orgurl","bzurl","cat","logo"
"1cpp.ru","http://www.1cpp.ru/index.php/Main","http://cvs.alterplast.ru/bugs/","Free Software Projects",""
"AbiWord","https://www.abisource.com/","http://bugzilla.abisource.com/","Free Software Projects",""
"Alt Linux","https://www.altlinux.org/","https://bugzilla.altlinux.org/","Linux Distributions",""
"Apache Project","http://www.apache.org/","http://issues.apache.org/bugzilla/","Free Software Projects","apache.svg"
"AspectC++","http://www.aspectc.org/","http://www.aspectc.org/bugzilla/","Free Software Projects",""
"Cendio","http://www.cendio.com/","http://www.cendio.com/bugzilla/","",""
"Claws Mail","https://claws-mail.org/","https://www.thewildbeast.co.uk/claws-mail/bugzilla/","Free Software Projects",""
"ContentLion","http://www.contentlion.org/","http://bugzilla.contentlion.org/","Free Software Projects",""
"distributed.net","https://www.distributed.net/","https://bugs.distributed.net/","",""
"D Programming Language","https://dlang.org/","https://issues.dlang.org/","Free Software Projects",""
"Eclipse","http://www.eclipse.org/","https://bugs.eclipse.org/bugs/","Free Software Projects","eclipse.svg"
"ElitNet","https://www.elitnet.lt/","https://www.elitnet.lt/support/","",""
"ESSPL","https://www.esspl.com/","https://bugzilla.esspl.com/","",""
"ETC s.r.o.","https://www.etc.sk/","https://bugzilla.etc.sk/","",""
"Etersoft","https://www.etersoft.ru/","https://bugs.etersoft.ru/","",""
"Exim","https://www.exim.org/","https://www.exim.org/bugzilla/","Free Software Projects",""
"FreeBSD","https://www.freebsd.org/","https://bugs.freebsd.org/","",""
"GCC","http://gcc.gnu.org/","http://gcc.gnu.org/bugzilla/","Free Software Projects",""
"GColPart.com","http://www.gcolpart.com/","http://www.gcolpart.com/bugzilla/","",""
"Geant4 project","http://geant4.org/","http://bugzilla-geant4.kek.jp/","",""
"Gentoo","https://www.gentoo.org/","https://bugs.gentoo.org/","Linux Distributions","gentoo.svg"
"HPCalc","http://www.hpcalc.org","http://bugs.hpcalc.org","",""
"HylaFAX","http://www.hylafax.org/","http://bugs.hylafax.org/bugzilla/","Free Software Projects",""
"Icculus","http://www.icculus.org/","https://bugzilla.icculus.org/","Free Software Projects",""
"iPLATINUM Pty Ltd","http://www.iplatinum.com.au/","http://support.iplatinum.com.au/bugzilla/index.cgi","",""
"KDE","https://www.kde.org/","https://bugs.kde.org/","Free Software Projects","kde.svg"
"Koha Library Software","https://koha-community.org","https://bugs.koha-community.org/","Free Software Projects",""
"LibreOffice","https://www.libreoffice.org/","https://bugs.libreoffice.org/","Free Software Projects","libreoffice.svg"
"libtorque","https://nick-black.com/dankwiki/index.php/Libtorque","https://nick-black.com/bugzilla/","",""
"Linux Kernel","https://www.linux.org/","https://bugzilla.kernel.org/","Free Software Projects","linux.svg"
"LiveCode","https://www.livecode.org/","https://quality.runrev.com/","Free Software Projects",""
"Maemo","http://maemo.org/","https://bugs.maemo.org/","Linux Distributions",""
"Mageia","https://mageia.org/","https://bugs.mageia.org/","Linux Distributions",""
"March Hare Software","https://march-hare.com/","https://customer.march-hare.com/webtools/bugzilla","",""
"MozDev","https://www.mozdev.org","https://www.mozdev.org/bugs/index.cgi","",""
"Mozilla","https://www.mozilla.org/","https://bugzilla.mozilla.org","Free Software Projects","mozilla.svg"
"NetBeans","https://www.netbeans.org/","https://bz.apache.org/netbeans/","",""
"NetFilter","https://www.netfilter.org/","https://bugzilla.netfilter.org/","Free Software Projects",""
"NLnet Labs","https://nlnetlabs.nl/","https://www.nlnetlabs.nl/bugs-script/","",""
"Novell, Inc.","https://www.novell.com/","https://bugzilla.novell.com/","",""
"ODAMEX","https://odamex.net/","https://odamex.net/bugs/","Free Software Projects",""
"OKIT GmbH","https://www.okit.de/","https://bugzilla.okit.de/","",""
"OpenFabrics Alliance","http://www.openfabrics.org/","https://bugs.openfabrics.org/","",""
"OpenMandriva","https://www.openmandriva.org/","https://issues.openmandriva.org/","Linux Distributions",""
"Open Office","https://www.openoffice.org/","https://bz.apache.org/ooo/","Free Software Projects","openoffice.svg"
"OpenSSH","https://www.openssh.com/","https://bugzilla.mindrot.org/","Free Software Projects",""
"Open Ticket Request System","https://otrs.org/","https://bugs.otrs.org/","",""
"Open Watcom","http://www.openwatcom.org/","http://bugzilla.openwatcom.org/","",""
"OpenXchange","https://www.open-xchange.com/","https://bugs.open-xchange.com/","",""
"PrivaSphere","https://www.privasphere.com/","https://bugs.privasphere.com/","",""
"ProFTPD","http://www.proftpd.org/","http://bugs.proftpd.org/","Free Software Projects",""
"Project Partners, LLC.","http://www.projectp.com/","http://support.projectp.com/","",""
"Red Hat","http://www.redhat.com/","https://bugzilla.redhat.com/bugzilla/","Linux Distributions","redhat.svg"
"Samba","http://www.samba.org/","https://bugzilla.samba.org/","Free Software Projects",""
"Scilab","https://www.scilab.org/","https://bugzilla.scilab.org/","",""
"Skolelinux","http://www.skolelinux.no/","http://bugs.skolelinux.no/","Linux Distributions",""
"softCENTRAL","http://www.softcentral.com/","http://www.softcentral.com/bugCENTRAL/","",""
"Spam Assassin","https://www.spamassassin.org/","https://bz.apache.org/SpamAssassin/","Free Software Projects",""
"SuDo","https://www.sudo.ws/","https://www.sudo.ws/bugs/","Free Software Projects",""
"SUSE/openSUSE","https://www.suse.com/","https://bugzilla.suse.com/","Linux Distributions","suse.svg"
"WebKit","https://webkit.org/","https://bugs.webkit.org/","Free Software Projects",""
"Wine","https://www.winehq.com/","https://bugs.winehq.com/","Free Software Projects",""
"Wireshark","https://www.wireshark.org/","https://bugs.wireshark.org/","Free Software Projects",""
